咪咕央视（公网）,#genre#
绝境求生电影，实在太过刺激！,http://43.136.68.106:35455/huya/20985793

盗墓还得看经典的,http://43.136.68.106:35455/huya/21059552
爆燃屏幕！经典武打电影合集连播，拳拳到肉看过瘾,http://43.136.68.106:35455/huya/23865179
飞虎雄鹰 阿sir好型,http://43.136.68.106:35455/huya/29465898


虎牙.电视剧（公网）,#genre#

大家好 我曾小咸又回来啦,http://43.136.68.106:35455/huya/11336726
特么的暴雨梨花针是我童年的阴影,http://43.136.68.106:35455/huya/11352958
身世神秘的范闲书写人生传奇,http://43.136.68.106:35455/huya/11352960
与古代神探共赴推理盛宴,http://43.136.68.106:35455/huya/11342425
最喜欢的一版韦小宝,http://43.136.68.106:35455/huya/23650774
江湖风云再起，小小镖局暗藏乾坤！,http://43.136.68.106:35455/huya/11352874
真正的战士 火蓝刀锋,http://43.136.68.106:35455/huya/20985796
许三多军营成长史,http://43.136.68.106:35455/huya/11342430
胡八一胖子沙漠古城找鬼洞,http://43.136.68.106:35455/huya/11352871
搞笑的一家人,http://43.136.68.106:35455/huya/11342402
[情满四合院] 你准备好感受那份年代情感了吗？,http://43.136.68.106:35455/huya/11342426
【缅怀最经典张飞】桃园结义三兄弟	,http://43.136.68.106:35455/huya/11602081
大女主魏璎珞杀疯了,http://43.136.68.106:35455/huya/26355864
我的前半生, 靳东马伊琍袁泉三人纠葛,http://43.136.68.106:35455/huya/11352916
天不生我李淳罡，剑道万古如长夜,http://43.136.68.106:35455/huya/11336592
[扫黑风暴] 正义与黑暗的终极较量,http://43.136.68.106:35455/huya/11342404
天地争霸美猴王 这个唐僧是最好的唐僧了吧,http://43.136.68.106:35455/huya/29465859
我懿症发作啦,http://43.136.68.106:35455/huya/29465868
童年！经典！破案,http://43.136.68.106:35455/huya/23482266
炊事班de故事3·柴米油盐,http://43.136.68.106:35455/huya/19524135
半部士兵突击半部冲出亚马逊,http://43.136.68.106:35455/huya/21241783
在哪儿跌倒的还得在哪儿爬起来,http://43.136.68.106:35455/huya/11602088
夏雪夏雨夏冰雹,http://43.136.68.106:35455/huya/11352872
[民兵葛二蛋] 草根英雄逆袭记，笑中带泪的抗战传奇,http://43.136.68.106:35455/huya/11602072
《云南虫谷》奔跑吧，胡八一!,http://43.136.68.106:35455/huya/11352898
摸金校尉造访龙岭！,http://43.136.68.106:35455/huya/29465863
神貂侠侣·再看陈晓&陈妍希相识,http://43.136.68.106:35455/huya/11352964
乡村爱情，安排~,http://43.136.68.106:35455/huya/30080255
03版天龙八部 胡军林志颖刘亦菲,http://43.136.68.106:35455/huya/20985816
高分谍战剧[风筝]，送你上路的是你的同志,http://43.136.68.106:35455/huya/30080225
[洗冤录] 解开每一具尸体的未了之愿,http://43.136.68.106:35455/huya/29465851
yang光的快乐生活，轻松一夏的必看喜剧！,http://43.136.68.106:35455/huya/11602085
俺老孙来也 通通闪开,http://43.136.68.106:35455/huya/20985836
阔别十年，你是我的荣耀,http://43.136.68.106:35455/huya/11352920
芦苇微微&一笑奈何,http://43.136.68.106:35455/huya/26355857
刘老根 再难重现的经典好剧,http://43.136.68.106:35455/huya/23652426
齐天大圣来也,http://43.136.68.106:35455/huya/11352937
[漫长的季节] 你愿意一同揭开这个秘密吗？,http://43.136.68.106:35455/huya/11342393
《寻秦记》 不看亏大了！,http://43.136.68.106:35455/huya/30080146
盗墓笔记 重启征程心无惧,http://43.136.68.106:35455/huya/29465897
[全职高手] 叶修，十年荣耀多少过往！,http://43.136.68.106:35455/huya/11352901
姑姑！！！白古真的帅哇,http://43.136.68.106:35455/huya/24609809
洪武大案朱元璋惩贪,http://43.136.68.106:35455/huya/11352973
